 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL3785	 Hydroxycarboxylic acid receptor 2 
 2 	 CHEMBL4421	 HM74 nicotinic acid GPCR 
 3 	 CHEMBL1795093	 Apoptotic protease-activating factor 1 
 4 	 CHEMBL4079	 G-protein coupled receptor kinase 2 
 5 	 CHEMBL261	 Carbonic anhydrase I 
 6 	 CHEMBL3242	 Carbonic anhydrase XII 
 7 	 CHEMBL3594	 Carbonic anhydrase IX 
 8 	 CHEMBL3510	 Carbonic anhydrase XIV 
 9 	 CHEMBL4789	 Carbonic anhydrase VA 
 10 	 CHEMBL2885	 Carbonic anhydrase III 
 11 	 CHEMBL3969	 Carbonic anhydrase VB 
 12 	 CHEMBL248	 Leukocyte elastase 
 13 	 CHEMBL5620	 Proteasome subunit beta type-8 
 14 	 CHEMBL3004	 Multidrug resistance-associated protein 1 
 15 	 CHEMBL2085	 Macrophage migration inhibitory factor 
 16 	 CHEMBL3286	 Urokinase-type plasminogen activator 
 17 	 CHEMBL4681	 Aldo-keto-reductase family 1 member C3 
 18 	 CHEMBL1163101	 Serine/threonine-protein kinase/endoribonuclease IRE1 
 19 	 CHEMBL2000	 Plasma kallikrein 
 20 	 CHEMBL204	 Thrombin 
