 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL1892	 Glutamate carboxypeptidase II 
 2 	 CHEMBL5098	 Glutamate carboxypeptidase II 
 3 	 CHEMBL2088	 Carboxypeptidase A1 
 4 	 CHEMBL3419	 Carboxypeptidase B2 isoform A 
 5 	 CHEMBL330	 Glutamate (NMDA) receptor subunit zeta 1 
 6 	 CHEMBL2718	 Metabotropic glutamate receptor 8 
 7 	 CHEMBL2787	 Metabotropic glutamate receptor 4 
 8 	 CHEMBL296	 GABA receptor gamma-1 subunit 
 9 	 CHEMBL5697	 Egl nine homolog 1 
 10 	 CHEMBL205	 Carbonic anhydrase II 
 11 	 CHEMBL3729	 Carbonic anhydrase IV 
 12 	 CHEMBL1944	 Neprilysin 
 13 	 CHEMBL1918	 Glutamate receptor ionotropic kainate 1 
 14 	 CHEMBL3683	 Glutamate receptor ionotropic kainate 2 
 15 	 CHEMBL2609	 NAALADase II 
 16 	 CHEMBL3238	 Carnitine palmitoyltransferase 2 
 17 	 CHEMBL4037	 Carnitine palmitoyltransferase 2 
 18 	 CHEMBL2721	 Excitatory amino acid transporter 3 
 19 	 CHEMBL2009	 Glutamate receptor ionotropic, AMPA 1 
 20 	 CHEMBL256	 Adenosine A3 receptor 
