 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL4979	 Sodium/glucose cotransporter 1 
 2 	 CHEMBL4302	 P-glycoprotein 1 
 3 	 CHEMBL220	 Acetylcholinesterase 
 4 	 CHEMBL3594	 Carbonic anhydrase IX 
 5 	 CHEMBL205	 Carbonic anhydrase II 
 6 	 CHEMBL203	 Epidermal growth factor receptor erbB1 
 7 	 CHEMBL218	 Cannabinoid CB1 receptor 
 8 	 CHEMBL4333	 Sphingosine 1-phosphate receptor Edg-1 
 9 	 CHEMBL3884	 Sodium/glucose cotransporter 2 
 10 	 CHEMBL253	 Cannabinoid CB2 receptor 
 11 	 CHEMBL4794	 Vanilloid receptor 
 12 	 CHEMBL261	 Carbonic anhydrase I 
 13 	 CHEMBL215	 Arachidonate 5-lipoxygenase 
 14 	 CHEMBL3242	 Carbonic anhydrase XII 
 15 	 CHEMBL4422	 Free fatty acid receptor 1 
 16 	 CHEMBL206	 Estrogen receptor alpha 
 17 	 CHEMBL312	 Arachidonate 5-lipoxygenase 
 18 	 CHEMBL2326	 Carbonic anhydrase VII 
 19 	 CHEMBL335	 Protein-tyrosine phosphatase 1B 
 20 	 CHEMBL339	 Dopamine D2 receptor 
