 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL2039	 Monoamine oxidase B 
 2 	 CHEMBL205	 Carbonic anhydrase II 
 3 	 CHEMBL235	 Peroxisome proliferator-activated receptor gamma 
 4 	 CHEMBL239	 Peroxisome proliferator-activated receptor alpha 
 5 	 CHEMBL2993	 Monoamine oxidase B 
 6 	 CHEMBL4797	 Peroxisome proliferator-activated receptor gamma 
 7 	 CHEMBL6020	 Bile salt export pump 
 8 	 CHEMBL3227	 Metabotropic glutamate receptor 5 
 9 	 CHEMBL1293255	 15-hydroxyprostaglandin dehydrogenase [NAD+] 
 10 	 CHEMBL3229	 Anandamide amidohydrolase 
 11 	 CHEMBL1741213	 Sentrin-specific protease 7 
 12 	 CHEMBL274	 C-C chemokine receptor type 5 
 13 	 CHEMBL4422	 Free fatty acid receptor 1 
 14 	 CHEMBL2564	 Metabotropic glutamate receptor 5 
 15 	 CHEMBL1821	 Muscarinic acetylcholine receptor M4 
 16 	 CHEMBL1867	 Alpha-2a adrenergic receptor 
 17 	 CHEMBL1942	 Alpha-2b adrenergic receptor 
 18 	 CHEMBL203	 Epidermal growth factor receptor erbB1 
 19 	 CHEMBL2056	 Dopamine D1 receptor 
 20 	 CHEMBL211	 Muscarinic acetylcholine receptor M2 
