 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL1918	 Glutamate receptor ionotropic kainate 1 
 2 	 CHEMBL2787	 Metabotropic glutamate receptor 4 
 3 	 CHEMBL2919	 Glutamate receptor ionotropic kainate 1 
 4 	 CHEMBL3683	 Glutamate receptor ionotropic kainate 2 
 5 	 CHEMBL2718	 Metabotropic glutamate receptor 8 
 6 	 CHEMBL3842	 Metabotropic glutamate receptor 6 
 7 	 CHEMBL3976	 Dipeptidyl peptidase II 
 8 	 CHEMBL5137	 Metabotropic glutamate receptor 2 
 9 	 CHEMBL4328	 Betaine--homocysteine S-methyltransferase 1 
 10 	 CHEMBL4573	 Metabotropic glutamate receptor 6 
 11 	 CHEMBL4016	 Glutamate receptor ionotropic, AMPA 2 
 12 	 CHEMBL3048	 Nitric-oxide synthase, brain 
 13 	 CHEMBL3228	 Metabotropic glutamate receptor 8 
 14 	 CHEMBL3744	 Glutamate receptor ionotropic kainate 3 
 15 	 CHEMBL3503	 Glutamate receptor ionotropic, AMPA 2 
 16 	 CHEMBL3439	 Aminopeptidase A 
 17 	 CHEMBL3419	 Carboxypeptidase B2 isoform A 
 18 	 CHEMBL2851	 Metabotropic glutamate receptor 2 
 19 	 CHEMBL4481	 Nitric oxide synthase, inducible 
 20 	 CHEMBL3568	 Nitric-oxide synthase, brain 
