 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL4421	 HM74 nicotinic acid GPCR 
 2 	 CHEMBL1946	 Melatonin receptor 1B 
 3 	 CHEMBL1945	 Melatonin receptor 1A 
 4 	 CHEMBL4427	 Prostanoid DP receptor 
 5 	 CHEMBL5071	 G protein-coupled receptor 44 
 6 	 CHEMBL205	 Carbonic anhydrase II 
 7 	 CHEMBL2326	 Carbonic anhydrase VII 
 8 	 CHEMBL261	 Carbonic anhydrase I 
 9 	 CHEMBL3242	 Carbonic anhydrase XII 
 10 	 CHEMBL3510	 Carbonic anhydrase XIV 
 11 	 CHEMBL3594	 Carbonic anhydrase IX 
 12 	 CHEMBL326	 Alpha-1d adrenergic receptor 
 13 	 CHEMBL312	 Arachidonate 5-lipoxygenase 
 14 	 CHEMBL1641347	 Solute carrier family 22 member 6 
 15 	 CHEMBL1641348	 Solute carrier family 22 member 8 
 16 	 CHEMBL3785	 Hydroxycarboxylic acid receptor 2 
 17 	 CHEMBL2487	 Beta amyloid A4 protein 
 18 	 CHEMBL2085	 Macrophage migration inhibitory factor 
 19 	 CHEMBL2992	 Dopamine beta-hydroxylase 
 20 	 CHEMBL280	 Matrix metalloproteinase 13 
