 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL2231	 Cytochrome P450 1A1 
 2 	 CHEMBL3356	 Cytochrome P450 1A2 
 3 	 CHEMBL4878	 Cytochrome P450 1B1 
 4 	 CHEMBL1795098	 Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1 
 5 	 CHEMBL4361	 Induced myeloid leukemia cell differentiation protein Mcl-1 
 6 	 CHEMBL3116	 Cyclin-dependent kinase 9 
 7 	 CHEMBL5719	 Cell division protein kinase 8 
 8 	 CHEMBL1978	 Cytochrome P450 19A1 
 9 	 CHEMBL2326	 Carbonic anhydrase VII 
 10 	 CHEMBL3004	 Multidrug resistance-associated protein 1 
 11 	 CHEMBL3181	 Estradiol 17-beta-dehydrogenase 1 
 12 	 CHEMBL3242	 Carbonic anhydrase XII 
 13 	 CHEMBL3305	 Testis-specific androgen-binding protein 
 14 	 CHEMBL3729	 Carbonic anhydrase IV 
 15 	 CHEMBL5586	 Carbonyl reductase [NADPH] 1 
 16 	 CHEMBL206	 Estrogen receptor alpha 
 17 	 CHEMBL242	 Estrogen receptor beta 
 18 	 CHEMBL256	 Adenosine A3 receptor 
 19 	 CHEMBL318	 Adenosine A1 receptor 
 20 	 CHEMBL5393	 ATP-binding cassette sub-family G member 2 
