 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL1808	 Angiotensin-converting enzyme 
 2 	 CHEMBL1944	 Neprilysin 
 3 	 CHEMBL269	 Delta opioid receptor 
 4 	 CHEMBL270	 Mu opioid receptor 
 5 	 CHEMBL236	 Delta opioid receptor 
 6 	 CHEMBL3369	 Neprilysin 
 7 	 CHEMBL333	 Matrix metalloproteinase-2 
 8 	 CHEMBL205	 Carbonic anhydrase II 
 9 	 CHEMBL261	 Carbonic anhydrase I 
 10 	 CHEMBL233	 Mu opioid receptor 
 11 	 CHEMBL2625	 Angiotensin-converting enzyme 
 12 	 CHEMBL206	 Estrogen receptor alpha 
 13 	 CHEMBL242	 Estrogen receptor beta 
 14 	 CHEMBL235	 Peroxisome proliferator-activated receptor gamma 
 15 	 CHEMBL335	 Protein-tyrosine phosphatase 1B 
 16 	 CHEMBL237	 Kappa opioid receptor 
 17 	 CHEMBL4198	 Inhibitor of apoptosis protein 3 
 18 	 CHEMBL3785	 Hydroxycarboxylic acid receptor 2 
 19 	 CHEMBL1892	 Glutamate carboxypeptidase II 
 20 	 CHEMBL239	 Peroxisome proliferator-activated receptor alpha 
