 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL6007	 Transient receptor potential cation channel subfamily A member 1 
 2 	 CHEMBL2131	 Indolethylamine N-methyltransferase 
 3 	 CHEMBL3561	 GABA receptor rho-1 subunit 
 4 	 CHEMBL1163101	 Serine/threonine-protein kinase/endoribonuclease IRE1 
 5 	 CHEMBL5282	 Cytochrome P450 2A6 
 6 	 CHEMBL1900	 Aldose reductase 
 7 	 CHEMBL1970	 Alcohol dehydrogenase alpha chain 
 8 	 CHEMBL1841	 Tyrosine-protein kinase FYN 
 9 	 CHEMBL258	 Tyrosine-protein kinase LCK 
 10 	 CHEMBL205	 Carbonic anhydrase II 
 11 	 CHEMBL2326	 Carbonic anhydrase VII 
 12 	 CHEMBL261	 Carbonic anhydrase I 
 13 	 CHEMBL3025	 Carbonic anhydrase VI 
 14 	 CHEMBL3594	 Carbonic anhydrase IX 
 15 	 CHEMBL3729	 Carbonic anhydrase IV 
 16 	 CHEMBL3356	 Cytochrome P450 1A2 
 17 	 CHEMBL4081	 Coagulation factor III 
 18 	 CHEMBL2391	 11-beta-hydroxysteroid dehydrogenase 1 
 19 	 CHEMBL4235	 11-beta-hydroxysteroid dehydrogenase 1 
 20 	 CHEMBL2372	 Catechol O-methyltransferase 
