 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL239	 Peroxisome proliferator-activated receptor alpha 
 2 	 CHEMBL4163	 Toll-like receptor 2 
 3 	 CHEMBL402	 HMG-CoA reductase 
 4 	 CHEMBL3250	 Lysophosphatidic acid receptor Edg-7 
 5 	 CHEMBL3724	 Lysophosphatidic acid receptor Edg-4 
 6 	 CHEMBL2083	 Fatty acid binding protein adipocyte 
 7 	 CHEMBL3344	 Fatty acid binding protein muscle 
 8 	 CHEMBL3674	 Fatty acid binding protein epidermal 
 9 	 CHEMBL3979	 Peroxisome proliferator-activated receptor delta 
 10 	 CHEMBL2243	 Anandamide amidohydrolase 
 11 	 CHEMBL3229	 Anandamide amidohydrolase 
 12 	 CHEMBL3571	 Cannabinoid CB1 receptor 
 13 	 CHEMBL220	 Acetylcholinesterase 
 14 	 CHEMBL2265	 Acyl coenzyme A:cholesterol acyltransferase 
 15 	 CHEMBL4361	 Induced myeloid leukemia cell differentiation protein Mcl-1 
 16 	 CHEMBL5511	 Dual specificity protein phosphatase 6 
 17 	 CHEMBL3819	 Lysophosphatidic acid receptor Edg-2 
 18 	 CHEMBL4282	 Serine/threonine-protein kinase AKT 
 19 	 CHEMBL2366498	 Liver carboxylesterase B-1 
 20 	 CHEMBL3180	 Carboxylesterase 2 
