 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL222	 Norepinephrine transporter 
 2 	 CHEMBL238	 Dopamine transporter 
 3 	 CHEMBL228	 Serotonin transporter 
 4 	 CHEMBL338	 Dopamine transporter 
 5 	 CHEMBL284	 Dipeptidyl peptidase IV 
 6 	 CHEMBL287	 Sigma opioid receptor 
 7 	 CHEMBL216	 Muscarinic acetylcholine receptor M1 
 8 	 CHEMBL211	 Muscarinic acetylcholine receptor M2 
 9 	 CHEMBL220	 Acetylcholinesterase 
 10 	 CHEMBL261	 Carbonic anhydrase I 
 11 	 CHEMBL339	 Dopamine D2 receptor 
 12 	 CHEMBL1833	 Serotonin 2b (5-HT2b) receptor 
 13 	 CHEMBL4767	 Vesicular acetylcholine transporter 
 14 	 CHEMBL4980	 Neuronal acetylcholine receptor protein alpha-7 subunit 
 15 	 CHEMBL205	 Carbonic anhydrase II 
 16 	 CHEMBL273	 Serotonin 1a (5-HT1a) receptor 
 17 	 CHEMBL3602	 Sigma opioid receptor 
 18 	 CHEMBL313	 Serotonin transporter 
 19 	 CHEMBL3922	 Methionine aminopeptidase 2 
 20 	 CHEMBL217	 Dopamine D2 receptor 
