 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL235	 Peroxisome proliferator-activated receptor gamma 
 2 	 CHEMBL4027	 Neurokinin 1 receptor 
 3 	 CHEMBL3325	 Oligopeptide transporter, kidney isoform 
 4 	 CHEMBL1918	 Glutamate receptor ionotropic kainate 1 
 5 	 CHEMBL3744	 Glutamate receptor ionotropic kainate 3 
 6 	 CHEMBL3663	 Growth factor receptor-bound protein 2 
 7 	 CHEMBL2919	 Glutamate receptor ionotropic kainate 1 
 8 	 CHEMBL2088	 Carboxypeptidase A1 
 9 	 CHEMBL3419	 Carboxypeptidase B2 isoform A 
 10 	 CHEMBL1892	 Glutamate carboxypeptidase II 
 11 	 CHEMBL1841	 Tyrosine-protein kinase FYN 
 12 	 CHEMBL203	 Epidermal growth factor receptor erbB1 
 13 	 CHEMBL258	 Tyrosine-protein kinase LCK 
 14 	 CHEMBL270	 Mu opioid receptor 
 15 	 CHEMBL1743125	 Solute carrier family 15 member 2 
 16 	 CHEMBL2452	 Aminopeptidase B 
 17 	 CHEMBL3918	 Receptor-type tyrosine-protein phosphatase alpha 
 18 	 CHEMBL335	 Protein-tyrosine phosphatase 1B 
 19 	 CHEMBL4581	 Kinesin-like protein 1 
 20 	 CHEMBL2721	 Excitatory amino acid transporter 3 
