hsa00220  	Arginine biosynthesis
hsa00330  	Arginine and proline metabolism
hsa01100  	Metabolic pathways
hsa04020  	Calcium signaling pathway
hsa04066  	HIF-1 signaling pathway
hsa04146  	Peroxisome
hsa04371  	Apelin signaling pathway
hsa04926  	Relaxin signaling pathway
hsa05010  	Alzheimer disease
hsa05014  	Amyotrophic lateral sclerosis
hsa05022  	Pathways of neurodegeneration - multiple diseases
hsa05133  	Pertussis
hsa05140  	Leishmaniasis
hsa05142  	Chagas disease
hsa05145  	Toxoplasmosis
hsa05146  	Amoebiasis
hsa05152  	Tuberculosis
hsa05200  	Pathways in cancer
hsa05222  	Small cell lung cancer
