 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL1795093	 Apoptotic protease-activating factor 1 
 2 	 CHEMBL222	 Norepinephrine transporter 
 3 	 CHEMBL1898	 Serotonin 1b (5-HT1b) receptor 
 4 	 CHEMBL1983	 Serotonin 1d (5-HT1d) receptor 
 5 	 CHEMBL224	 Serotonin 2a (5-HT2a) receptor 
 6 	 CHEMBL225	 Serotonin 2c (5-HT2c) receptor 
 7 	 CHEMBL2439	 Myeloperoxidase 
 8 	 CHEMBL273	 Serotonin 1a (5-HT1a) receptor 
 9 	 CHEMBL304	 Norepinephrine transporter 
 10 	 CHEMBL313	 Serotonin transporter 
 11 	 CHEMBL323	 Serotonin 2b (5-HT2b) receptor 
 12 	 CHEMBL3371	 Serotonin 6 (5-HT6) receptor 
 13 	 CHEMBL338	 Dopamine transporter 
 14 	 CHEMBL5282	 Cytochrome P450 2A6 
 15 	 CHEMBL321	 Matrix metalloproteinase 9 
 16 	 CHEMBL203	 Epidermal growth factor receptor erbB1 
 17 	 CHEMBL267	 Tyrosine-protein kinase SRC 
 18 	 CHEMBL3837	 Cathepsin L 
 19 	 CHEMBL1808	 Angiotensin-converting enzyme 
 20 	 CHEMBL235	 Peroxisome proliferator-activated receptor gamma 
