 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL246	 Beta-3 adrenergic receptor 
 2 	 CHEMBL210	 Beta-2 adrenergic receptor 
 3 	 CHEMBL213	 Beta-1 adrenergic receptor 
 4 	 CHEMBL215	 Arachidonate 5-lipoxygenase 
 5 	 CHEMBL313	 Serotonin transporter 
 6 	 CHEMBL301	 Cyclin-dependent kinase 2 
 7 	 CHEMBL205	 Carbonic anhydrase II 
 8 	 CHEMBL3072	 Androgen Receptor 
 9 	 CHEMBL273	 Serotonin 1a (5-HT1a) receptor 
 10 	 CHEMBL332	 Matrix metalloproteinase-1 
 11 	 CHEMBL333	 Matrix metalloproteinase-2 
 12 	 CHEMBL3252	 Beta-1 adrenergic receptor 
 13 	 CHEMBL321	 Matrix metalloproteinase 9 
 14 	 CHEMBL261	 Carbonic anhydrase I 
 15 	 CHEMBL338	 Dopamine transporter 
 16 	 CHEMBL4588	 Matrix metalloproteinase 8 
 17 	 CHEMBL287	 Sigma opioid receptor 
 18 	 CHEMBL3522	 Cytochrome P450 17A1 
 19 	 CHEMBL283	 Matrix metalloproteinase 3 
 20 	 CHEMBL280	 Matrix metalloproteinase 13 
