 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL1978	 Cytochrome P450 19A1 
 2 	 CHEMBL2722	 Cytochrome P450 11B2 
 3 	 CHEMBL206	 Estrogen receptor alpha 
 4 	 CHEMBL242	 Estrogen receptor beta 
 5 	 CHEMBL3012	 Phosphodiesterase 7A 
 6 	 CHEMBL215	 Arachidonate 5-lipoxygenase 
 7 	 CHEMBL2487	 Beta amyloid A4 protein 
 8 	 CHEMBL3305	 Testis-specific androgen-binding protein 
 9 	 CHEMBL312	 Arachidonate 5-lipoxygenase 
 10 	 CHEMBL5840	 Fatty acid desaturase 1 
 11 	 CHEMBL3371	 Serotonin 6 (5-HT6) receptor 
 12 	 CHEMBL6093	 Calmodulin 
 13 	 CHEMBL1871	 Androgen Receptor 
 14 	 CHEMBL4245	 Estrogen-related receptor gamma 
 15 	 CHEMBL2789	 Estradiol 17-beta-dehydrogenase 2 
 16 	 CHEMBL3181	 Estradiol 17-beta-dehydrogenase 1 
 17 	 CHEMBL4426	 Phospholipase A2 group 1B 
 18 	 CHEMBL4618	 Leukotriene A4 hydrolase 
 19 	 CHEMBL1951	 Monoamine oxidase A 
 20 	 CHEMBL205	 Carbonic anhydrase II 
