 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL5160	 Transient receptor potential cation channel subfamily A member 1 
 2 	 CHEMBL2492	 Neuronal acetylcholine receptor protein alpha-7 subunit 
 3 	 CHEMBL2326	 Carbonic anhydrase VII 
 4 	 CHEMBL2885	 Carbonic anhydrase III 
 5 	 CHEMBL3025	 Carbonic anhydrase VI 
 6 	 CHEMBL3242	 Carbonic anhydrase XII 
 7 	 CHEMBL3510	 Carbonic anhydrase XIV 
 8 	 CHEMBL3594	 Carbonic anhydrase IX 
 9 	 CHEMBL3729	 Carbonic anhydrase IV 
 10 	 CHEMBL3969	 Carbonic anhydrase VB 
 11 	 CHEMBL4789	 Carbonic anhydrase VA 
 12 	 CHEMBL2452	 Aminopeptidase B 
 13 	 CHEMBL2131	 Indolethylamine N-methyltransferase 
 14 	 CHEMBL233	 Mu opioid receptor 
 15 	 CHEMBL1907	 Aminopeptidase N 
 16 	 CHEMBL3439	 Aminopeptidase A 
 17 	 CHEMBL214	 Serotonin 1a (5-HT1a) receptor 
 18 	 CHEMBL217	 Dopamine D2 receptor 
 19 	 CHEMBL224	 Serotonin 2a (5-HT2a) receptor 
 20 	 CHEMBL3155	 Serotonin 7 (5-HT7) receptor 
