 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL2993	 Monoamine oxidase B 
 2 	 CHEMBL3358	 Monoamine oxidase A 
 3 	 CHEMBL2039	 Monoamine oxidase B 
 4 	 CHEMBL1951	 Monoamine oxidase A 
 5 	 CHEMBL228	 Serotonin transporter 
 6 	 CHEMBL276	 Muscarinic acetylcholine receptor M1 
 7 	 CHEMBL309	 Muscarinic acetylcholine receptor M2 
 8 	 CHEMBL222	 Norepinephrine transporter 
 9 	 CHEMBL238	 Dopamine transporter 
 10 	 CHEMBL240	 HERG 
 11 	 CHEMBL273	 Serotonin 1a (5-HT1a) receptor 
 12 	 CHEMBL307	 Neuronal acetylcholine receptor protein alpha-4 subunit 
 13 	 CHEMBL211	 Muscarinic acetylcholine receptor M2 
 14 	 CHEMBL220	 Acetylcholinesterase 
 15 	 CHEMBL3818	 Neuronal acetylcholine receptor subunit alpha-3 
 16 	 CHEMBL234	 Dopamine D3 receptor 
 17 	 CHEMBL5857	 Trace amine-associated receptor 1 
 18 	 CHEMBL1882	 Neuronal acetylcholine receptor protein alpha-4 subunit 
 19 	 CHEMBL261	 Carbonic anhydrase I 
 20 	 CHEMBL205	 Carbonic anhydrase II 
