 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL2622	 Aldose reductase 
 2 	 CHEMBL215	 Arachidonate 5-lipoxygenase 
 3 	 CHEMBL4878	 Cytochrome P450 1B1 
 4 	 CHEMBL2231	 Cytochrome P450 1A1 
 5 	 CHEMBL4302	 P-glycoprotein 1 
 6 	 CHEMBL1929	 Xanthine dehydrogenase 
 7 	 CHEMBL3356	 Cytochrome P450 1A2 
 8 	 CHEMBL5393	 ATP-binding cassette sub-family G member 2 
 9 	 CHEMBL2326	 Carbonic anhydrase VII 
 10 	 CHEMBL3004	 Multidrug resistance-associated protein 1 
 11 	 CHEMBL3729	 Carbonic anhydrase IV 
 12 	 CHEMBL1250375	 NADPH oxidase 4 
 13 	 CHEMBL1951	 Monoamine oxidase A 
 14 	 CHEMBL242	 Estrogen receptor beta 
 15 	 CHEMBL338	 Dopamine transporter 
 16 	 CHEMBL3242	 Carbonic anhydrase XII 
 17 	 CHEMBL1974	 Tyrosine-protein kinase receptor FLT3 
 18 	 CHEMBL1900	 Aldose reductase 
 19 	 CHEMBL1978	 Cytochrome P450 19A1 
 20 	 CHEMBL206	 Estrogen receptor alpha 
