 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL205	 Carbonic anhydrase II 
 2 	 CHEMBL261	 Carbonic anhydrase I 
 3 	 CHEMBL3594	 Carbonic anhydrase IX 
 4 	 CHEMBL2326	 Carbonic anhydrase VII 
 5 	 CHEMBL2163175	 Gamma-butyrobetaine dioxygenase 
 6 	 CHEMBL3242	 Carbonic anhydrase XII 
 7 	 CHEMBL3729	 Carbonic anhydrase IV 
 8 	 CHEMBL3025	 Carbonic anhydrase VI 
 9 	 CHEMBL3510	 Carbonic anhydrase XIV 
 10 	 CHEMBL3439	 Aminopeptidase A 
 11 	 CHEMBL4789	 Carbonic anhydrase VA 
 12 	 CHEMBL3969	 Carbonic anhydrase VB 
 13 	 CHEMBL2885	 Carbonic anhydrase III 
 14 	 CHEMBL3815	 Squalene synthetase 
 15 	 CHEMBL2243	 Anandamide amidohydrolase 
 16 	 CHEMBL3785	 Hydroxycarboxylic acid receptor 2 
 17 	 CHEMBL3344	 Fatty acid binding protein muscle 
 18 	 CHEMBL1741179	 Probable DNA dC-&gt;dU-editing enzyme APOBEC-3A 
 19 	 CHEMBL1835	 Thromboxane-A synthase 
 20 	 CHEMBL2083	 Fatty acid binding protein adipocyte 
