 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL2007625	 Isocitrate dehydrogenase [NADP] cytoplasmic 
 2 	 CHEMBL1974	 Tyrosine-protein kinase receptor FLT3 
 3 	 CHEMBL308	 Cyclin-dependent kinase 1 
 4 	 CHEMBL3788	 Serine/threonine-protein kinase PLK4 
 5 	 CHEMBL4036	 Cyclin-dependent kinase 5 
 6 	 CHEMBL4204	 MAP kinase signal-integrating kinase 2 
 7 	 CHEMBL4895	 Tyrosine-protein kinase receptor UFO 
 8 	 CHEMBL221	 Cyclooxygenase-1 
 9 	 CHEMBL1973	 Tyrosinase 
 10 	 CHEMBL4158	 Fatty acid synthase 
 11 	 CHEMBL261	 Carbonic anhydrase I 
 12 	 CHEMBL3510	 Carbonic anhydrase XIV 
 13 	 CHEMBL3729	 Carbonic anhydrase IV 
 14 	 CHEMBL5857	 Trace amine-associated receptor 1 
 15 	 CHEMBL280	 Matrix metalloproteinase 13 
 16 	 CHEMBL4393	 Matrix metalloproteinase 12 
 17 	 CHEMBL4506	 NAD-dependent deacetylase sirtuin 1 
 18 	 CHEMBL2047	 Bile acid receptor FXR 
 19 	 CHEMBL5619	 DNA-(apurinic or apyrimidinic site) lyase 
 20 	 CHEMBL304	 Norepinephrine transporter 
