 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL318	 Adenosine A1 receptor 
 2 	 CHEMBL256	 Adenosine A3 receptor 
 3 	 CHEMBL302	 Adenosine A2a receptor 
 4 	 CHEMBL2883	 Thymidine kinase, cytosolic 
 5 	 CHEMBL4338	 Purine nucleoside phosphorylase 
 6 	 CHEMBL2664	 Adenosylhomocysteinase 
 7 	 CHEMBL251	 Adenosine A2a receptor 
 8 	 CHEMBL1910	 Adenosine deaminase 
 9 	 CHEMBL226	 Adenosine A1 receptor 
 10 	 CHEMBL3360	 Adenosine A3 receptor 
 11 	 CHEMBL2880	 Adenylate cyclase type V 
 12 	 CHEMBL255	 Adenosine A2b receptor 
 13 	 CHEMBL3589	 Adenosine kinase 
 14 	 CHEMBL2971	 Tyrosine-protein kinase JAK2 
 15 	 CHEMBL4502	 Cytidine deaminase 
 16 	 CHEMBL308	 Cyclin-dependent kinase 1 
 17 	 CHEMBL5921	 Bifunctional protein NCOAT 
 18 	 CHEMBL2835	 Tyrosine-protein kinase JAK1 
 19 	 CHEMBL2325	 G protein-coupled receptor 80 
 20 	 CHEMBL3189	 Adenylate cyclase type V 
