 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL2231	 Cytochrome P450 1A1 
 2 	 CHEMBL3335	 Cytochrome P450 2B1 
 3 	 CHEMBL332	 Matrix metalloproteinase-1 
 4 	 CHEMBL4421	 HM74 nicotinic acid GPCR 
 5 	 CHEMBL203	 Epidermal growth factor receptor erbB1 
 6 	 CHEMBL2088	 Carboxypeptidase A1 
 7 	 CHEMBL2429708	 Poly [ADP-ribose] polymerase 10 
 8 	 CHEMBL3105	 Poly [ADP-ribose] polymerase-1 
 9 	 CHEMBL2372	 Catechol O-methyltransferase 
 10 	 CHEMBL312	 Arachidonate 5-lipoxygenase 
 11 	 CHEMBL1892	 Glutamate carboxypeptidase II 
 12 	 CHEMBL2622	 Aldose reductase 
 13 	 CHEMBL3457	 Kynurenine 3-monooxygenase 
 14 	 CHEMBL2085	 Macrophage migration inhibitory factor 
 15 	 CHEMBL5071	 G protein-coupled receptor 44 
 16 	 CHEMBL3437	 Amine oxidase, copper containing 
 17 	 CHEMBL402	 HMG-CoA reductase 
 18 	 CHEMBL326	 Alpha-1d adrenergic receptor 
 19 	 CHEMBL3419	 Carboxypeptidase B2 isoform A 
 20 	 CHEMBL273	 Serotonin 1a (5-HT1a) receptor 
