 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL1250375	 NADPH oxidase 4 
 2 	 CHEMBL1871	 Androgen Receptor 
 3 	 CHEMBL1929	 Xanthine dehydrogenase 
 4 	 CHEMBL1951	 Monoamine oxidase A 
 5 	 CHEMBL1974	 Tyrosine-protein kinase receptor FLT3 
 6 	 CHEMBL1978	 Cytochrome P450 19A1 
 7 	 CHEMBL206	 Estrogen receptor alpha 
 8 	 CHEMBL220	 Acetylcholinesterase 
 9 	 CHEMBL2231	 Cytochrome P450 1A1 
 10 	 CHEMBL230	 Cyclooxygenase-2 
 11 	 CHEMBL242	 Estrogen receptor beta 
 12 	 CHEMBL2508	 Cyclin-dependent kinase 6 
 13 	 CHEMBL2599	 Tyrosine-protein kinase SYK 
 14 	 CHEMBL262	 Glycogen synthase kinase-3 beta 
 15 	 CHEMBL2622	 Aldose reductase 
 16 	 CHEMBL3004	 Multidrug resistance-associated protein 1 
 17 	 CHEMBL302	 Adenosine A2a receptor 
 18 	 CHEMBL318	 Adenosine A1 receptor 
 19 	 CHEMBL3181	 Estradiol 17-beta-dehydrogenase 1 
 20 	 CHEMBL3194	 Transthyretin 
