 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL3180	 Carboxylesterase 2 
 2 	 CHEMBL3815	 Squalene synthetase 
 3 	 CHEMBL285	 Acyl coenzyme A:cholesterol acyltransferase 1 
 4 	 CHEMBL2808	 LXR-alpha 
 5 	 CHEMBL4235	 11-beta-hydroxysteroid dehydrogenase 1 
 6 	 CHEMBL2027	 Niemann-Pick C1-like protein 1 
 7 	 CHEMBL5658	 Prostaglandin E synthase 
 8 	 CHEMBL1825	 TNF-alpha 
 9 	 CHEMBL402	 HMG-CoA reductase 
 10 	 CHEMBL4343	 DNA polymerase beta 
 11 	 CHEMBL2047	 Bile acid receptor FXR 
 12 	 CHEMBL1741221	 Cysteine protease ATG4B 
 13 	 CHEMBL1993	 DNA (cytosine-5)-methyltransferase 1 
 14 	 CHEMBL4426	 Phospholipase A2 group 1B 
 15 	 CHEMBL1856	 Steroid 5-alpha-reductase 2 
 16 	 CHEMBL5409	 G-protein coupled bile acid receptor 1 
 17 	 CHEMBL4029	 Interleukin-8 receptor A 
 18 	 CHEMBL3150	 Vitamin D receptor 
 19 	 CHEMBL1914	 Butyrylcholinesterase 
 20 	 CHEMBL2034	 Glucocorticoid receptor 
