 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL1841	 Tyrosine-protein kinase FYN 
 2 	 CHEMBL203	 Epidermal growth factor receptor erbB1 
 3 	 CHEMBL258	 Tyrosine-protein kinase LCK 
 4 	 CHEMBL3179	 Tyrosyl-tRNA synthetase 
 5 	 CHEMBL2634	 Tyrosine-protein kinase CSK 
 6 	 CHEMBL1743125	 Solute carrier family 15 member 2 
 7 	 CHEMBL269	 Delta opioid receptor 
 8 	 CHEMBL270	 Mu opioid receptor 
 9 	 CHEMBL2346488	 Proliferating cell nuclear antigen 
 10 	 CHEMBL3663	 Growth factor receptor-bound protein 2 
 11 	 CHEMBL335	 Protein-tyrosine phosphatase 1B 
 12 	 CHEMBL235	 Peroxisome proliferator-activated receptor gamma 
 13 	 CHEMBL3785	 Hydroxycarboxylic acid receptor 2 
 14 	 CHEMBL3833	 Trace amine-associated receptor 1 
 15 	 CHEMBL5857	 Trace amine-associated receptor 1 
 16 	 CHEMBL2047	 Bile acid receptor FXR 
 17 	 CHEMBL5619	 DNA-(apurinic or apyrimidinic site) lyase 
 18 	 CHEMBL214	 Serotonin 1a (5-HT1a) receptor 
 19 	 CHEMBL224	 Serotonin 2a (5-HT2a) receptor 
 20 	 CHEMBL3155	 Serotonin 7 (5-HT7) receptor 
