 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL203	 Epidermal growth factor receptor erbB1 
 2 	 CHEMBL2009	 Glutamate receptor ionotropic, AMPA 1 
 3 	 CHEMBL2919	 Glutamate receptor ionotropic kainate 1 
 4 	 CHEMBL3503	 Glutamate receptor ionotropic, AMPA 2 
 5 	 CHEMBL3510	 Carbonic anhydrase XIV 
 6 	 CHEMBL1918	 Glutamate receptor ionotropic kainate 1 
 7 	 CHEMBL3753	 Glutamate receptor ionotropic, AMPA 1 
 8 	 CHEMBL2326	 Carbonic anhydrase VII 
 9 	 CHEMBL3568	 Nitric-oxide synthase, brain 
 10 	 CHEMBL3744	 Glutamate receptor ionotropic kainate 3 
 11 	 CHEMBL258	 Tyrosine-protein kinase LCK 
 12 	 CHEMBL1841	 Tyrosine-protein kinase FYN 
 13 	 CHEMBL3504	 Glutamate receptor ionotropic, AMPA 3 
 14 	 CHEMBL2634	 Tyrosine-protein kinase CSK 
 15 	 CHEMBL4016	 Glutamate receptor ionotropic, AMPA 2 
 16 	 CHEMBL3505	 Glutamate receptor ionotropic, AMPA 4 
 17 	 CHEMBL3419	 Carboxypeptidase B2 isoform A 
 18 	 CHEMBL3190	 Glutamate receptor ionotropic, AMPA 4 
 19 	 CHEMBL323	 Serotonin 2b (5-HT2b) receptor 
 20 	 CHEMBL4803	 Nitric-oxide synthase, endothelial 
