 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL2088	 Carboxypeptidase A1 
 2 	 CHEMBL3965	 Leucine aminopeptidase 
 3 	 CHEMBL1892	 Glutamate carboxypeptidase II 
 4 	 CHEMBL3325	 Oligopeptide transporter, kidney isoform 
 5 	 CHEMBL1918	 Glutamate receptor ionotropic kainate 1 
 6 	 CHEMBL2721	 Excitatory amino acid transporter 3 
 7 	 CHEMBL2919	 Glutamate receptor ionotropic kainate 1 
 8 	 CHEMBL3607	 Glutamate receptor ionotropic kainate 2 
 9 	 CHEMBL3683	 Glutamate receptor ionotropic kainate 2 
 10 	 CHEMBL3744	 Glutamate receptor ionotropic kainate 3 
 11 	 CHEMBL4573	 Metabotropic glutamate receptor 6 
 12 	 CHEMBL5137	 Metabotropic glutamate receptor 2 
 13 	 CHEMBL1944	 Neprilysin 
 14 	 CHEMBL1907	 Aminopeptidase N 
 15 	 CHEMBL3474	 Phospholipase A2 group IIA 
 16 	 CHEMBL4323	 Phospholipase A2 group V 
 17 	 CHEMBL4909	 Prostanoid EP2 receptor 
 18 	 CHEMBL3439	 Aminopeptidase A 
 19 	 CHEMBL2609	 NAALADase II 
 20 	 CHEMBL5413	 Metastin receptor 
